Chemical,Monitor,Date Time ,Reading
AGOC-3A,3,4/1/16 1:00,2.55736
AGOC-3A,3,4/1/16 2:00,2.39479
AGOC-3A,3,4/1/16 8:00,1.61156
AGOC-3A,3,4/1/16 14:00,2.06584
AGOC-3A,3,4/1/16 15:00,1.8144
AGOC-3A,3,4/1/16 17:00,3.77301
AGOC-3A,3,4/1/16 18:00,2.04777
AGOC-3A,3,4/2/16 3:00,2.73072
AGOC-3A,3,4/2/16 5:00,1.96427
AGOC-3A,3,4/2/16 6:00,1.32701
AGOC-3A,3,4/2/16 7:00,2.30778
AGOC-3A,3,4/2/16 9:00,1.62024
AGOC-3A,3,4/2/16 13:00,2.66781
AGOC-3A,3,4/2/16 14:00,1.93806
AGOC-3A,3,4/2/16 15:00,1.85382
AGOC-3A,3,4/2/16 16:00,1.5176
AGOC-3A,3,4/2/16 17:00,2.81238
AGOC-3A,3,4/2/16 18:00,3.71437
AGOC-3A,3,4/2/16 22:00,1.2749
AGOC-3A,3,4/3/16 3:00,1.23983
AGOC-3A,3,4/3/16 4:00,1.24921
AGOC-3A,3,4/3/16 5:00,1.71142
AGOC-3A,3,4/3/16 6:00,3.61539
AGOC-3A,3,4/3/16 7:00,2.54514
AGOC-3A,3,4/3/16 9:00,1.51497
AGOC-3A,3,4/3/16 12:00,1.68352
AGOC-3A,3,4/3/16 17:00,2.14348
AGOC-3A,3,4/3/16 18:00,1.70382
AGOC-3A,3,4/3/16 20:00,2.31819
AGOC-3A,3,4/3/16 21:00,1.59549
AGOC-3A,3,4/4/16 1:00,2.21473
AGOC-3A,3,4/4/16 7:00,1.66517
AGOC-3A,3,4/4/16 8:00,2.50858
AGOC-3A,3,4/4/16 15:00,2.62709
AGOC-3A,3,4/4/16 21:00,3.30432
AGOC-3A,3,4/4/16 22:00,1.87993
AGOC-3A,3,4/4/16 23:00,1.50599
AGOC-3A,3,4/5/16 3:00,1.87593
AGOC-3A,3,4/5/16 6:00,2.21492
AGOC-3A,3,4/5/16 7:00,2.21345
AGOC-3A,3,4/5/16 8:00,1.57522
AGOC-3A,3,4/5/16 15:00,2.93651
AGOC-3A,3,4/6/16 1:00,2.62361
AGOC-3A,3,4/6/16 7:00,1.83089
AGOC-3A,3,4/6/16 12:00,2.0939
AGOC-3A,3,4/6/16 14:00,1.56617
AGOC-3A,3,4/6/16 17:00,3.02491
AGOC-3A,3,4/6/16 18:00,1.40315
AGOC-3A,3,4/6/16 19:00,1.50631
AGOC-3A,3,4/6/16 23:00,2.6895
AGOC-3A,3,4/7/16 0:00,2.66669
AGOC-3A,3,4/7/16 2:00,1.78242
AGOC-3A,3,4/7/16 3:00,2.10318
AGOC-3A,3,4/7/16 4:00,3.62879
AGOC-3A,3,4/7/16 5:00,1.30383
AGOC-3A,3,4/7/16 12:00,1.32406
AGOC-3A,3,4/7/16 13:00,1.29938
AGOC-3A,3,4/7/16 14:00,1.99196
AGOC-3A,3,4/7/16 15:00,3.55811
AGOC-3A,3,4/7/16 17:00,3.62356
AGOC-3A,3,4/7/16 18:00,3.24876
AGOC-3A,3,4/7/16 20:00,1.44272
AGOC-3A,3,4/7/16 21:00,1.35335
AGOC-3A,3,4/7/16 23:00,3.45796
AGOC-3A,3,4/8/16 0:00,3.22343
AGOC-3A,3,4/8/16 2:00,3.08971
AGOC-3A,3,4/8/16 3:00,1.44147
AGOC-3A,3,4/8/16 4:00,1.68009
AGOC-3A,3,4/8/16 8:00,2.26901
AGOC-3A,3,4/8/16 9:00,1.96589
AGOC-3A,3,4/8/16 11:00,1.37499
AGOC-3A,3,4/8/16 12:00,1.89564
AGOC-3A,3,4/8/16 13:00,1.44307
AGOC-3A,3,4/8/16 16:00,3.16873
AGOC-3A,3,4/8/16 17:00,1.43581
AGOC-3A,3,4/8/16 21:00,2.22487
AGOC-3A,3,4/9/16 6:00,2.56592
AGOC-3A,3,4/9/16 10:00,1.81034
AGOC-3A,3,4/9/16 12:00,3.02928
AGOC-3A,3,4/9/16 14:00,1.28827
AGOC-3A,3,4/9/16 16:00,3.70617
AGOC-3A,3,4/10/16 0:00,1.3903
AGOC-3A,3,4/10/16 1:00,3.54569
AGOC-3A,3,4/10/16 6:00,3.3394
AGOC-3A,3,4/10/16 7:00,2.10735
AGOC-3A,3,4/10/16 8:00,3.81432
AGOC-3A,3,4/10/16 9:00,1.2636
AGOC-3A,3,4/10/16 10:00,2.44917
AGOC-3A,3,4/10/16 11:00,1.80357
AGOC-3A,3,4/10/16 18:00,2.05589
AGOC-3A,3,4/10/16 19:00,3.37639
AGOC-3A,3,4/10/16 21:00,2.91532
AGOC-3A,3,4/10/16 22:00,2.33174
AGOC-3A,3,4/10/16 23:00,2.71982
AGOC-3A,3,4/11/16 6:00,1.60283
AGOC-3A,3,4/11/16 13:00,2.76659
AGOC-3A,3,4/11/16 22:00,2.74084
AGOC-3A,3,4/11/16 23:00,1.30383
AGOC-3A,3,4/12/16 2:00,1.9903
AGOC-3A,3,4/12/16 6:00,1.5474
AGOC-3A,3,4/12/16 7:00,1.71009
AGOC-3A,3,4/12/16 9:00,2.29136
AGOC-3A,3,4/12/16 10:00,3.73266
AGOC-3A,3,4/12/16 11:00,1.26893
AGOC-3A,3,4/12/16 16:00,1.93156
AGOC-3A,3,4/12/16 17:00,1.57118
AGOC-3A,3,4/12/16 21:00,1.44616
AGOC-3A,3,4/12/16 23:00,3.53887
AGOC-3A,3,4/13/16 0:00,1.56911
AGOC-3A,3,4/13/16 2:00,2.19944
AGOC-3A,3,4/13/16 4:00,1.74886
AGOC-3A,3,4/13/16 6:00,1.71663
AGOC-3A,3,4/13/16 8:00,2.06166
AGOC-3A,3,4/13/16 11:00,1.66412
AGOC-3A,3,4/13/16 13:00,1.93994
AGOC-3A,3,4/13/16 14:00,2.06472
AGOC-3A,3,4/13/16 17:00,1.98171
AGOC-3A,3,4/13/16 18:00,1.50881
AGOC-3A,3,4/13/16 19:00,3.08127
AGOC-3A,3,4/14/16 0:00,1.3639
AGOC-3A,3,4/14/16 3:00,1.67208
AGOC-3A,3,4/14/16 6:00,3.28182
AGOC-3A,3,4/14/16 11:00,2.60692
AGOC-3A,3,4/14/16 13:00,2.90683
AGOC-3A,3,4/14/16 21:00,1.59006
AGOC-3A,3,4/14/16 22:00,2.92604
AGOC-3A,3,4/15/16 4:00,1.26378
AGOC-3A,3,4/15/16 6:00,1.68021
AGOC-3A,3,4/15/16 9:00,3.13483
AGOC-3A,3,4/15/16 12:00,1.29268
AGOC-3A,3,4/15/16 13:00,2.31137
AGOC-3A,3,4/15/16 14:00,1.57763
AGOC-3A,3,4/15/16 16:00,3.60584
AGOC-3A,3,4/16/16 6:00,1.70924
AGOC-3A,3,4/16/16 11:00,2.256
AGOC-3A,3,4/16/16 15:00,1.34763
AGOC-3A,3,4/16/16 16:00,2.70961
AGOC-3A,3,4/16/16 17:00,2.5634
AGOC-3A,3,4/16/16 20:00,1.32895
AGOC-3A,3,4/17/16 0:00,3.12775
AGOC-3A,3,4/17/16 4:00,1.88769
AGOC-3A,3,4/17/16 5:00,3.41602
AGOC-3A,3,4/17/16 7:00,2.61512
AGOC-3A,3,4/17/16 11:00,2.02841
